case_num,derm,concept_label,attribution,predicted_class
581,NAL/Nal047.jpg,1,0.050568945705890656,MEL
583,NAL/Nal073.jpg,0,0.03354513272643089,MEL
586,NAL/Nal080.jpg,1,0.047108523547649384,MEL
587,NAL/Nal082.jpg,1,0.07623673975467682,MEL
589,NAL/Nal088.jpg,0,0.05227283388376236,MEL
590,NAL/Nal090.jpg,0,0.07702276110649109,MEL
591,NAL/Nal052.jpg,1,0.05933109298348427,MEL
593,NBL/Nbl001.jpg,1,0.05107618495821953,MEL
594,NBL/Nbl007.jpg,1,0.06094235181808472,MEL
596,NBL/Nbl013.jpg,0,0.06438159942626953,MEL
598,NBL/Nbl022.jpg,0,0.07313905656337738,MEL
599,NBL/Nbl025.jpg,1,0.06738758087158203,MEL
600,NBL/Nbl031.jpg,1,0.052632033824920654,MEL
601,NFL/Nfl054.jpg,0,0.06434637308120728,MEL
602,NGL/Ngl002.jpg,0,0.04857560619711876,MEL
604,NGL/Ngl062.jpg,0,0.07373998314142227,MEL
609,NIL/Nil080.jpg,0,0.0659506693482399,MEL
610,NIL/Nil084.jpg,0,0.042554326355457306,MEL
614,Gzl/gzl28.jpg,1,0.03891194611787796,MEL
619,FBL/Fbl028.jpg,1,0.033320240676403046,MEL
620,FCL/Fcl022.jpg,1,0.06258852034807205,MEL
626,FDL/Fdl014.jpg,1,0.04875849932432175,MEL
631,Ggl/Ggl068.jpg,0,0.07481810450553894,MEL
632,Fll/Fll085.jpg,1,0.05960456281900406,MEL
634,Fgl/Fgl029.jpg,1,0.06086292490363121,MEL
635,Fgl/Fgl057.jpg,0,0.049718454480171204,MEL
637,Fll/Fll122.jpg,0,0.03627924993634224,MEL
638,Fil/Fil052.jpg,1,0.03790045157074928,MEL
640,New/newl053.jpg,1,0.05070176348090172,MEL
641,NAL/Nal005.jpg,1,0.09447048604488373,MEL
645,NAL/Nal035.jpg,1,0.05764804780483246,MEL
647,NAL/Nal057.jpg,0,0.06957961618900299,MEL
649,NAL/Nal064.jpg,1,0.06066880747675896,MEL
650,NAL/Nal070.jpg,1,0.05226965248584747,MEL
653,NAL/nal095.jpg,1,0.03209126368165016,MEL
654,NAL/Nal097.jpg,0,0.056688375771045685,MEL
655,NBL/Nbl004.jpg,1,0.04928935319185257,MEL
657,NBL/Nbl017.jpg,1,0.057400405406951904,MEL
659,NBL/Nbl028.jpg,0,0.045836277306079865,MEL
661,NBL/Nbl034.jpg,1,0.045656297355890274,MEL
663,NFL/nfl070.jpg,1,0.045501500368118286,MEL
664,NFL/nfl072.jpg,1,0.03808499127626419,MEL
665,NGL/Ngl008.jpg,0,0.03999163955450058,MEL
667,NGL/Ngl017.jpg,1,0.03832552954554558,MEL
672,NGL/Ngl055.jpg,0,0.04654273763298988,MEL
673,NGL/Ngl064.jpg,1,0.08103647828102112,MEL
677,NIL/Nil076.jpg,1,0.06378370523452759,MEL
683,NLL/Nll002.jpg,1,0.051539964973926544,MEL
685,NML/Nml022.jpg,0,0.06850717961788177,MEL
686,NML/Nml077.jpg,1,0.03939975053071976,MEL
689,Adl/Adl313.jpg,1,0.05519569665193558,MEL
690,Ael/Ael490.jpg,0,0.0413854755461216,MEL
692,Ael/Ael504.jpg,0,0.04065382108092308,MEL
696,Gzl/gzl50.jpg,1,0.05747006833553314,MEL
698,Gal/Gal113.jpg,0,0.0450478233397007,MEL
699,Gal/Gal146.jpg,1,0.06905078142881393,MEL
700,Gal/Gal257.jpg,0,0.05121300369501114,MEL
701,Gal/Gal211.jpg,1,0.05762334540486336,MEL
702,FAL/FAL066.JPG,0,0.04158308357000351,MEL
705,FBL/Fbl050.jpg,0,0.03294114023447037,MEL
710,FCL/Fcl060.jpg,1,0.05926544591784477,MEL
711,Fll/Fll045.jpg,1,0.06345362961292267,MEL
712,FCL/Fcl100.jpg,1,0.039637621492147446,MEL
717,Fll/Fll071.jpg,0,0.045409902930259705,MEL
720,Gcl/Gcl094.jpg,1,0.052071716636419296,MEL
722,Gdl/Gdl021.jpg,1,0.06367668509483337,MEL
726,Fll/Fll097.jpg,1,0.06792846322059631,MEL
727,Fgl/Fgl082.jpg,1,0.03279215469956398,MEL
728,Fgl/Fgl083.jpg,1,0.08115565776824951,MEL
730,Fll/Fll108.jpg,0,0.050698839128017426,MEL
731,Fil/Fil006.jpg,0,0.04475393891334534,MEL
732,Fll/Fll116.jpg,1,0.05550313740968704,MEL
733,Fll/Fll118.jpg,1,0.04149876534938812,MEL
739,New/newl047.jpg,1,0.06336420774459839,MEL
740,New/newl049.jpg,0,0.06943444907665253,MEL
741,New/newl051.jpg,1,0.021838931366801262,MEL
743,NAL/Nal002.jpg,0,0.04647323489189148,MEL
744,NAL/Nal008.jpg,0,0.06952962279319763,MEL
745,NBL/Nbl059.jpg,1,0.04500177130103111,MEL
747,NBL/Nbl063.jpg,0,0.04530799388885498,MEL
751,NGL/Ngl041.jpg,0,0.023831212893128395,MEL
752,NGL/Ngl066.jpg,1,0.048654720187187195,MEL
754,NIL/Nil064.jpg,0,0.04440141096711159,MEL
759,NLL/nll014.jpg,1,0.05590943992137909,MEL
760,NML/Nml024.jpg,0,0.05521833524107933,MEL
766,Gzl/gzl26.jpg,1,0.06577397137880325,MEL
768,Gal/Gal262.jpg,1,0.07148068398237228,MEL
774,Fll/Fll047.jpg,0,0.07152051478624344,MEL
777,FFL/FFL068.JPG,1,0.052538298070430756,MEL
778,Fll/Fll069.jpg,0,0.031601399183273315,MEL
779,Gbl/Gbl014.jpg,0,0.07239369302988052,MEL
780,Gcl/Gcl058.jpg,0,0.042492855340242386,MEL
781,Gdl/Gdl012.jpg,0,0.020766839385032654,MEL
783,Gdl/Gdl034.jpg,0,0.03770866617560387,MEL
787,Fgl/Fgl006.jpg,1,0.05837925896048546,MEL
790,Fll/Fll126.jpg,1,0.036295562982559204,MEL
792,Fll/Fll130.jpg,0,0.08157341182231903,MEL
793,Fll/Fll136.jpg,0,0.04927121847867966,MEL
